code,name,name_ascii,geonameid,iso_state_id,id
CN.04.3211,Zhenjiang Shi,Zhenjiang Shi,1784640,CN.04,3211
CN.04.3210,Yangzhou Shi,Yangzhou Shi,1787226,CN.04,3210
CN.04.3209,Yancheng Shi,Yancheng Shi,1787743,CN.04,3209
CN.04.3203,Xuzhou,Xuzhou,1787823,CN.04,3203
CN.04.3202,Wuxi Shi,Wuxi Shi,1790902,CN.04,3202
CN.04.3212,Taizhou Shi,Taizhou Shi,1793502,CN.04,3212
CN.04.3213,Suqian Shi,Suqian Shi,1793770,CN.04,3213
CN.04.3206,Nantong Shi,Nantong Shi,1799719,CN.04,3206
CN.04.3201,Nanjing Shi,Nanjing Shi,1799960,CN.04,3201
CN.04.3207,Lianyungang Shi,Lianyungang Shi,1803847,CN.04,3207
CN.04.3208,Huai’an Shi,Huai'an Shi,1807649,CN.04,3208
CN.04.3204,Changzhou Shi,Changzhou Shi,1815454,CN.04,3204
CN.04.3205,Suzhou Shi,Suzhou Shi,1881771,CN.04,3205
