code,name,name_ascii,geonameid,iso_state_id,id
CN.13.6530,Kezilesu,Kezilesu,1280828,CN.13,6530
CN.13.6531,Kashi Diqu,Kashi Diqu,1280848,CN.13,6531
CN.13.6532,Hetian,Hetian,1281018,CN.13,6532
CN.13.6501,Urumqi Shi,Urumqi Shi,1529101,CN.13,6501
CN.13.6504,Tulufan,Tulufan,1529113,CN.13,6504
CN.13.6542,Tacheng Diqu,Tacheng Diqu,1529166,CN.13,6542
CN.13.6502,Kelamayi Shi,Kelamayi Shi,1529400,CN.13,6502
CN.13.6540,Yili,Yili,1529434,CN.13,6540
CN.13.6505,Hami,Hami,1529483,CN.13,6505
CN.13.6523,Changji Huizu Zizhizhou,Changji Huizu Zizhizhou,1529568,CN.13,6523
CN.13.6527,Bortala,Bortala,1529581,CN.13,6527
CN.13.6528,Bayinguoleng Menggu Zizhizhou,Bayinguoleng Menggu Zizhizhou,1529604,CN.13,6528
CN.13.6543,Aletai Diqu,Aletai Diqu,1529650,CN.13,6543
CN.13.6529,Aksu Diqu,Aksu Diqu,1529658,CN.13,6529
CN.13.8079473,Wujiaqu Shi,Wujiaqu Shi,8079473,CN.13,8079473
CN.13.8080762,Tumxuk,Tumxuk,8080762,CN.13,8080762
CN.13.12324192,Shihezi,Shihezi,12324192,CN.13,12324192
