code,name,name_ascii,geonameid,iso_state_id,id
CN.16.4504,Wuzhou Shi,Wuzhou Shi,1790838,CN.16,4504
CN.16.4507,Qinzhou Shi,Qinzhou Shi,1797550,CN.16,4507
CN.16.4501,Nanning Shi,Nanning Shi,1799866,CN.16,4501
CN.16.4502,Liuzhou Shi,Liuzhou Shi,1802851,CN.16,4502
CN.16.4512,Hechi Shi,Hechi Shi,1808757,CN.16,4512
CN.16.4503,Guilin Shi,Guilin Shi,1809492,CN.16,4503
CN.16.4510,Baise Shi,Baise Shi,1816268,CN.16,4510
CN.16.4505,Beihai Shi,Beihai Shi,1816702,CN.16,4505
CN.16.4508,Guigang Shi,Guigang Shi,7909203,CN.16,4508
CN.16.4514,Chongzuo Shi,Chongzuo Shi,7909220,CN.16,4514
CN.16.4513,Laibin Shi,Laibin Shi,7909222,CN.16,4513
CN.16.4506,Fangchenggang Shi,Fangchenggang Shi,7909223,CN.16,4506
CN.16.4511,Hezhou Shi,Hezhou Shi,7909224,CN.16,4511
CN.16.4509,Yulin Shi,Yulin Shi,8537502,CN.16,4509
