code,name,name_ascii,geonameid,iso_state_id,id
CN.26.6108,Yulin Shi,Yulin Shi,1785769,CN.26,6108
CN.26.6106,Yan’an Shi,Yan'an Shi,1787763,CN.26,6106
CN.26.6104,Xianyang Shi,Xianyang Shi,1790352,CN.26,6104
CN.26.6101,Xi’an Shi,Xi'an Shi,1790384,CN.26,6101
CN.26.6105,Weinan Shi,Weinan Shi,1791635,CN.26,6105
CN.26.6102,Tongchuan Shi,Tongchuan Shi,1792691,CN.26,6102
CN.26.6110,Shangluo Shi,Shangluo Shi,1796165,CN.26,6110
CN.26.6107,Hanzhong Shi,Hanzhong Shi,1808856,CN.26,6107
CN.26.6103,Baoji Shi,Baoji Shi,1816935,CN.26,6103
CN.26.6109,Ankang Shi,Ankang Shi,1818037,CN.26,6109
