code,name,name_ascii,geonameid,iso_state_id,id
CN.32.5103,Zigong Shi,Zigong Shi,1783744,CN.32,5103
CN.32.5115,Yibin Shi,Yibin Shi,1786769,CN.32,5115
CN.32.5118,Ya’an Shi,Ya'an Shi,1787815,CN.32,5118
CN.32.5104,Panzhihua Shi,Panzhihua Shi,1798997,CN.32,5104
CN.32.5110,Neijiang Shi,Neijiang Shi,1799490,CN.32,5110
CN.32.5113,Nanchong Shi,Nanchong Shi,1800145,CN.32,5113
CN.32.5107,Mianyang Shi,Mianyang Shi,1800626,CN.32,5107
CN.32.5105,Luzhou Shi,Luzhou Shi,1801637,CN.32,5105
CN.32.5134,Liangshan Yizu Zizhizhou,Liangshan Yizu Zizhizhou,1803984,CN.32,5134
CN.32.5111,Leshan Shi,Leshan Shi,1804151,CN.32,5111
CN.32.5133,Garzê Zangzu Zizhizhou,Garze Zangzu Zizhizhou,1810269,CN.32,5133
CN.32.5117,Dazhou Shi,Dazhou Shi,1813324,CN.32,5117
CN.32.5101,Chengdu Shi,Chengdu Shi,1815285,CN.32,5101
CN.32.5132,Aba Zangzu Qiangzu Zizhizhou,Aba Zangzu Qiangzu Zizhizhou,1818175,CN.32,5132
CN.32.5106,Deyang Shi,Deyang Shi,6642946,CN.32,5106
CN.32.5108,Guangyuan Shi,Guangyuan Shi,6643372,CN.32,5108
CN.32.5116,Guang’an Shi,Guang'an Shi,6643373,CN.32,5116
CN.32.5109,Suining Shi,Suining Shi,6643374,CN.32,5109
CN.32.5119,Bazhong Shi,Bazhong Shi,6643375,CN.32,5119
CN.32.5114,Meishan Shi,Meishan Shi,8537504,CN.32,5114
CN.32.5120,Ziyang Shi,Ziyang Shi,8594180,CN.32,5120
