code,name,name_ascii,geonameid,iso_state_id,id
CN.25.3703,Zibo Shi,Zibo Shi,1783751,CN.25,3703
CN.25.3704,Zaozhuang Shi,Zaozhuang Shi,1785450,CN.25,3704
CN.25.3706,Yantai Shi,Yantai Shi,1787083,CN.25,3706
CN.25.3710,Weihai Shi,Weihai Shi,1791671,CN.25,3710
CN.25.3707,Weifang Shi,Weifang Shi,1791680,CN.25,3707
CN.25.3709,Tai’an Shi,Tai'an Shi,1793722,CN.25,3709
CN.25.3711,Rizhao Shi,Rizhao Shi,1797131,CN.25,3711
CN.25.3702,Qingdao Shi,Qingdao Shi,1797926,CN.25,3702
CN.25.3713,Linyi Shi,Linyi Shi,1803316,CN.25,3713
CN.25.3715,Liaocheng Shi,Liaocheng Shi,1803833,CN.25,3715
CN.25.3708,Jining Shi,Jining Shi,1805517,CN.25,3708
CN.25.3701,Jinan Shi,Jinan Shi,1805751,CN.25,3701
CN.25.3717,Heze Shi,Heze Shi,1808197,CN.25,3717
CN.25.3705,Dongying Shi,Dongying Shi,1812099,CN.25,3705
CN.25.3714,Dezhou Shi,Dezhou Shi,1812954,CN.25,3714
CN.25.3716,Binzhou Shi,Binzhou Shi,1816335,CN.25,3716
