code,name,name_ascii,geonameid,iso_state_id,id
CN.20.1503,Wuhai Shi,Wuhai Shi,1791248,CN.20,1503
CN.20.1506,Ordos Shi,Ordos Shi,1806529,CN.20,1506
CN.20.1529,Alxa Meng,Alxa Meng,1818128,CN.20,1529
CN.20.1525,Xilin Gol Meng,Xilin Gol Meng,2033827,CN.20,1525
CN.20.1509,Wulanchabu Shi,Wulanchabu Shi,2034303,CN.20,1509
CN.20.1505,Tongliao Shi,Tongliao Shi,2036421,CN.20,1505
CN.20.1507,Hulunbuir Region,Hulunbuir Region,2036660,CN.20,1507
CN.20.1501,Hohhot Shi,Hohhot Shi,2036891,CN.20,1501
CN.20.1522,Hinggan Meng,Hinggan Meng,2036898,CN.20,1522
CN.20.1504,Chifeng Shi,Chifeng Shi,2038066,CN.20,1504
CN.20.1508,Bayannur Shi,Bayannur Shi,2038392,CN.20,1508
CN.20.1502,Baotou Shi,Baotou Shi,2038431,CN.20,1502
