code,name,name_ascii,geonameid,iso_state_id,id
CN.08.2307,Yichun Shi,Yichun Shi,2033412,CN.08,2307
CN.08.2312,Suihua Shi,Suihua Shi,2034654,CN.08,2312
CN.08.2305,Shuangyashan Shi,Shuangyashan Shi,2034785,CN.08,2305
CN.08.2309,Qitaihe Shi,Qitaihe Shi,2035260,CN.08,2309
CN.08.2302,Qiqihar Shi,Qiqihar Shi,2035264,CN.08,2302
CN.08.2310,Mudanjiang Shi,Mudanjiang Shi,2035713,CN.08,2310
CN.08.2303,Jixi Shi,Jixi Shi,2036380,CN.08,2303
CN.08.2308,Jiamusi Shi,Jiamusi Shi,2036580,CN.08,2308
CN.08.2311,Heihe,Heihe,2036971,CN.08,2311
CN.08.2304,Hegang Shi,Hegang Shi,2036985,CN.08,2304
CN.08.2301,Harbin Shi,Harbin Shi,2037012,CN.08,2301
CN.08.2306,Daqing Shi,Daqing Shi,2037847,CN.08,2306
CN.08.2327,Daxing’anling Diqu,Daxing'anling Diqu,2037961,CN.08,2327
