code,name,name_ascii,geonameid,iso_state_id,id
CN.30.4404,Zhuhai Shi,Zhuhai Shi,1783950,CN.30,4404
CN.30.4420,Zhongshan Prefecture,Zhongshan Prefecture,1784313,CN.30,4420
CN.30.4412,Zhaoqing Shi,Zhaoqing Shi,1784852,CN.30,4412
CN.30.4408,Zhanjiang Shi,Zhanjiang Shi,1784987,CN.30,4408
CN.30.4453,Yunfu Shi,Yunfu Shi,1785723,CN.30,4453
CN.30.4417,Yangjiang Shi,Yangjiang Shi,1787530,CN.30,4417
CN.30.4403,Shenzhen,Shenzhen,1795563,CN.30,4403
CN.30.4402,Shaoguan Shi,Shaoguan Shi,1795873,CN.30,4402
CN.30.4405,Shantou Shi,Shantou Shi,1795932,CN.30,4405
CN.30.4418,Qingyuan Shi,Qingyuan Shi,1797626,CN.30,4418
CN.30.4414,Meizhou Shi,Meizhou Shi,1800794,CN.30,4414
CN.30.4409,Maoming Shi,Maoming Shi,1801179,CN.30,4409
CN.30.4452,Jieyang Shi,Jieyang Shi,1805830,CN.30,4452
CN.30.4407,Jiangmen Shi,Jiangmen Shi,1806297,CN.30,4407
CN.30.4413,Huizhou Shi,Huizhou Shi,1806783,CN.30,4413
CN.30.4416,Heyuan Shi,Heyuan Shi,1808200,CN.30,4416
CN.30.4401,Guangzhou Shi,Guangzhou Shi,1809857,CN.30,4401
CN.30.4406,Foshan Shi,Foshan Shi,1811102,CN.30,4406
CN.30.4419,Dongguan Shi,Dongguan Shi,1812532,CN.30,4419
CN.30.4451,Chaozhou Shi,Chaozhou Shi,1815394,CN.30,4451
CN.30.4415,Shanwei Shi,Shanwei Shi,6571356,CN.30,4415
