code,name,name_ascii,geonameid,iso_state_id,id
CN.24.1408,Yuncheng Shi,Yuncheng Shi,1785736,CN.24,1408
CN.24.1403,Yangquan Shi,Yangquan Shi,1787346,CN.24,1403
CN.24.1401,Taiyuan Shi,Taiyuan Shi,1793510,CN.24,1401
CN.24.1411,Lüliang,Lueliang,1802029,CN.24,1411
CN.24.1410,Linfen Shi,Linfen Shi,1803566,CN.24,1410
CN.24.1407,Jinzhong Shi,Jinzhong Shi,1805302,CN.24,1407
CN.24.1405,Jincheng Shi,Jincheng Shi,1805739,CN.24,1405
CN.24.1404,Changzhi Shi,Changzhi Shi,1815461,CN.24,1404
CN.24.1402,Datong Shi,Datong Shi,2037794,CN.24,1402
CN.24.1406,Shuozhou Shi,Shuozhou Shi,6642609,CN.24,1406
CN.24.1409,Xinzhou Shi,Xinzhou Shi,6642630,CN.24,1409
