code,name,name_ascii,geonameid,iso_state_id,id
CN.09.4117,Zhumadian Shi,Zhumadian Shi,1783872,CN.09,4117
CN.09.4116,Zhoukou Shi,Zhoukou Shi,1784128,CN.09,4116
CN.09.4101,Zhengzhou Shi,Zhengzhou Shi,1784657,CN.09,4101
CN.09.4110,Xuchang Shi,Xuchang Shi,1788045,CN.09,4110
CN.09.4115,Xinyang Shi,Xinyang Shi,1788527,CN.09,4115
CN.09.4107,Xinxiang Shi,Xinxiang Shi,1788571,CN.09,4107
CN.09.4114,Shangqiu Shi,Shangqiu Shi,1796132,CN.09,4114
CN.09.4112,Sanmenxia Shi,Sanmenxia Shi,1796667,CN.09,4112
CN.09.4104,Pingdingshan Shi,Pingdingshan Shi,1798826,CN.09,4104
CN.09.4113,Nanyang Shi,Nanyang Shi,1799614,CN.09,4113
CN.09.4103,Luoyang Shi,Luoyang Shi,1801785,CN.09,4103
CN.09.4111,Luohe Shi,Luohe Shi,1801930,CN.09,4111
CN.09.4102,Kaifeng Shi,Kaifeng Shi,1804878,CN.09,4102
CN.09.4108,Jiaozuo Shi,Jiaozuo Shi,1805986,CN.09,4108
CN.09.4106,Hebi Shi,Hebi Shi,1808765,CN.09,4106
CN.09.4105,Anyang Shi,Anyang Shi,1817942,CN.09,4105
CN.09.4109,Puyang Shi,Puyang Shi,1941243,CN.09,4109
CN.09.12324210,Jiyuan,Jiyuan,12324210,CN.09,12324210
