code,name,name_ascii,geonameid,iso_state_id,id
CN.10.1305,Xingtai County,Xingtai County,1788925,CN.10,1305
CN.10.1302,Tangshan Shi,Tangshan Shi,1793343,CN.10,1302
CN.10.1301,Shijiazhuang Shi,Shijiazhuang Shi,1795266,CN.10,1301
CN.10.1303,Qinhuangdao Shi,Qinhuangdao Shi,1797593,CN.10,1303
CN.10.1310,Langfang Shi,Langfang Shi,1804539,CN.10,1310
CN.10.1311,Hengshui Shi,Hengshui Shi,1808391,CN.10,1311
CN.10.1304,Handan Shi,Handan Shi,1808961,CN.10,1304
CN.10.1309,Cangzhou Shi,Cangzhou Shi,1816078,CN.10,1309
CN.10.1306,Baoding Shi,Baoding Shi,1816969,CN.10,1306
CN.10.1307,Zhangjiakou Shi,Zhangjiakou Shi,2033194,CN.10,1307
CN.10.1308,Chengde Prefecture,Chengde Prefecture,2038085,CN.10,1308
