code,name,name_ascii,geonameid,iso_state_id,id
CN.11.4302,Zhuzhou Shi,Zhuzhou Shi,1783761,CN.11,4302
CN.11.4306,Yueyang Shi,Yueyang Shi,1785881,CN.11,4306
CN.11.4309,Yiyang Shi,Yiyang Shi,1786419,CN.11,4309
CN.11.4331,Xiangxi Tujiazu Miaozu Zizhizhou,Xiangxi Tujiazu Miaozu Zizhizhou,1790468,CN.11,4331
CN.11.4303,Xiangtan Shi,Xiangtan Shi,1790484,CN.11,4303
CN.11.4305,Shaoyang County,Shaoyang County,1795852,CN.11,4305
CN.11.4313,Loudi Shi,Loudi Shi,1802234,CN.11,4313
CN.11.4312,Huaihua Prefecture,Huaihua Prefecture,1807688,CN.11,4312
CN.11.4304,Hengyang Shi,Hengyang Shi,1808369,CN.11,4304
CN.11.4308,Zhangjiajie Shi,Zhangjiajie Shi,1813170,CN.11,4308
CN.11.4310,Prefecture of Chenzhou,Prefecture of Chenzhou,1815056,CN.11,4310
CN.11.4301,Changsha Shi,Changsha Shi,1815551,CN.11,4301
CN.11.4307,Changde Shi,Changde Shi,1815761,CN.11,4307
CN.11.4311,Yongzhou,Yongzhou,11287265,CN.11,4311
