code,name,name_ascii,geonameid,iso_state_id,id
CN.01.3418,Xuancheng Shi,Xuancheng Shi,1788080,CN.01,3418
CN.01.3402,Wuhu Shi,Wuhu Shi,1791227,CN.01,3402
CN.01.3407,Tongling Shi,Tongling Shi,1792619,CN.01,3407
CN.01.3413,Suzhou Shi,Suzhou Shi,1793752,CN.01,3413
CN.01.3405,Ma’anshan Shi,Ma'anshan Shi,1801618,CN.01,3405
CN.01.3415,Lu’an Shi,Lu'an Shi,1802199,CN.01,3415
CN.01.3410,Huangshan Shi,Huangshan Shi,1806775,CN.01,3410
CN.01.3404,Huainan Shi,Huainan Shi,1807680,CN.01,3404
CN.01.3406,Huaibei Shi,Huaibei Shi,1807699,CN.01,3406
CN.01.3401,Hefei Shi,Hefei Shi,1808721,CN.01,3401
CN.01.3412,Fuyang Shi,Fuyang Shi,1810843,CN.01,3412
CN.01.3411,Chuzhou Shi,Chuzhou Shi,1814761,CN.01,3411
CN.01.3403,Bengbu Shi,Bengbu Shi,1816439,CN.01,3403
CN.01.3408,Anqing Shi,Anqing Shi,1817991,CN.01,3408
CN.01.3417,Chizhou Shi,Chizhou Shi,6640435,CN.01,3417
CN.01.3416,Bozhou,Bozhou,11287254,CN.01,3416
