code,name,name_ascii,geonameid,iso_state_id,id
CN.31.1791540,Wenchang Shi,Wenchang Shi,1791540,CN.31,1791540
CN.31.1791778,Wanning Shi,Wanning Shi,1791778,CN.31,1791778
CN.31.4602,Sanya Shi,Sanya Shi,1796539,CN.31,4602
CN.31.1797544,Qionghai County,Qionghai County,1797544,CN.31,1797544
CN.31.4601,Haikou Shi,Haikou Shi,1809072,CN.31,4601
CN.31.4604,Danzhou Shi,Danzhou Shi,1813805,CN.31,4604
CN.31.4603,Sansha,Sansha,8402317,CN.31,4603
CN.31.12324194,Wuzhishan City,Wuzhishan City,12324194,CN.31,12324194
CN.31.12324195,Ledong Li Autonomous County,Ledong Li Autonomous County,12324195,CN.31,12324195
CN.31.12324196,Dongfang City,Dongfang City,12324196,CN.31,12324196
CN.31.12324197,Changjiang Li Autonomous County,Changjiang Li Autonomous County,12324197,CN.31,12324197
CN.31.12324198,Lingao County,Lingao County,12324198,CN.31,12324198
CN.31.12324201,Lingshui Li Autonomous County,Lingshui Li Autonomous County,12324201,CN.31,12324201
CN.31.12324203,Baoting Li and Miao Autonomous County,Baoting Li and Miao Autonomous County,12324203,CN.31,12324203
CN.31.12324205,Tunchang County,Tunchang County,12324205,CN.31,12324205
CN.31.12324206,Ding'an County,Ding'an County,12324206,CN.31,12324206
CN.31.12324207,Baisha Li Autonomous County,Baisha Li Autonomous County,12324207,CN.31,12324207
CN.31.12324208,Qiongzhong Li and Miao Autonomous County,Qiongzhong Li and Miao Autonomous County,12324208,CN.31,12324208
CN.31.12324209,Chengmai County,Chengmai County,12324209,CN.31,12324209
