code,name,name_ascii,geonameid,iso_state_id,id
CN.02.3309,Zhoushan Shi,Zhoushan Shi,1784107,CN.02,3309
CN.02.3303,Wenzhou Shi,Wenzhou Shi,1791385,CN.02,3303
CN.02.3310,Taizhou Shi,Taizhou Shi,1793504,CN.02,3310
CN.02.3306,Shaoxing Shi,Shaoxing Shi,1795854,CN.02,3306
CN.02.3308,Quzhou Shi,Quzhou Shi,1797262,CN.02,3308
CN.02.3302,Ningbo Shi,Ningbo Shi,1799395,CN.02,3302
CN.02.3311,Lishui Shi,Lishui Shi,1803243,CN.02,3311
CN.02.3307,Jinhua Shi,Jinhua Shi,1805525,CN.02,3307
CN.02.3304,Jiaxing Shi,Jiaxing Shi,1805952,CN.02,3304
CN.02.3305,Huzhou Shi,Huzhou Shi,1806534,CN.02,3305
CN.02.3301,Hangzhou Shi,Hangzhou Shi,1808925,CN.02,3301
