code,name,name_ascii,geonameid,iso_state_id,id
CN.29.5333,Nujiang Lisuzu Zizhizhou,Nujiang Lisuzu Zizhizhou,1280418,CN.29,5333
CN.29.5334,Dêqên Tibetan Autonomous Prefecture,Deqen Tibetan Autonomous Prefecture,1281365,CN.29,5334
CN.29.5331,Dehong Daizu Jingpozu Zizhizhou,Dehong Daizu Jingpozu Zizhizhou,1281381,CN.29,5331
CN.29.5305,Baoshan Shi,Baoshan Shi,1281672,CN.29,5305
CN.29.5306,Zhaotong Shi,Zhaotong Shi,1784839,CN.29,5306
CN.29.5304,Yuxi Shi,Yuxi Shi,1785551,CN.29,5304
CN.29.5328,Xishuangbanna Daizu Zizhizhou,Xishuangbanna Daizu Zizhizhou,1788323,CN.29,5328
CN.29.5326,Wenshan Zhuangzu Miaozu Zizhizhou,Wenshan Zhuangzu Miaozu Zizhizhou,1791424,CN.29,5326
CN.29.5308,Pu'er City,Pu'er City,1794208,CN.29,5308
CN.29.5303,Qujing Shi,Qujing Shi,1797315,CN.29,5303
CN.29.5309,Lincang Shi,Lincang Shi,1803589,CN.29,5309
CN.29.5307,Lijiang Shi,Lijiang Shi,1803666,CN.29,5307
CN.29.5301,Kunming Shi,Kunming Shi,1804649,CN.29,5301
CN.29.5325,Honghe Hanizu Yizu Zizhizhou,Honghe Hanizu Yizu Zizhizhou,1808130,CN.29,5325
CN.29.5329,Dali Baizu Zizhizhou,Dali Baizu Zizhizhou,1814065,CN.29,5329
CN.29.5323,Chuxiong Yizu Zizhizhou,Chuxiong Yizu Zizhizhou,1814758,CN.29,5323
