code,name,name_ascii,geonameid,iso_state_id,id
CN.15.6209,Jiuquan Shi,Jiuquan Shi,1280931,CN.15,6209
CN.15.6202,Jiayuguan Shi,Jiayuguan Shi,1280956,CN.15,6202
CN.15.6207,Zhangye Shi,Zhangye Shi,1785035,CN.15,6207
CN.15.6206,Wuwei Shi,Wuwei Shi,1790930,CN.15,6206
CN.15.6205,Tianshui Shi,Tianshui Shi,1792891,CN.15,6205
CN.15.6210,Qingyang Shi,Qingyang Shi,1797652,CN.15,6210
CN.15.6208,Pingliang Shi,Pingliang Shi,1798759,CN.15,6208
CN.15.6212,Longnan Shi,Longnan Shi,1802494,CN.15,6212
CN.15.6229,Linxia Huizu Zizhizhou,Linxia Huizu Zizhizhou,1803330,CN.15,6229
CN.15.6201,Lanzhou Shi,Lanzhou Shi,1804429,CN.15,6201
CN.15.6203,Jinchang Shi,Jinchang Shi,1805747,CN.15,6203
CN.15.6230,Gannan Zangzu Zizhizhou,Gannan Zangzu Zizhizhou,1810686,CN.15,6230
CN.15.6211,Dingxi Shi,Dingxi Shi,1812743,CN.15,6211
CN.15.6204,Baiyin Prefecture,Baiyin Prefecture,1817238,CN.15,6204
