code,name,name_ascii,geonameid,iso_state_id,id
CN.03.3606,Yingtan Shi,Yingtan Shi,1786576,CN.03,3606
CN.03.3609,Yichun Shi,Yichun Shi,1786745,CN.03,3609
CN.03.3611,Shangrao Shi,Shangrao Shi,1796129,CN.03,3611
CN.03.3603,Pingxiang Shi,Pingxiang Shi,1798652,CN.03,3603
CN.03.3601,Nanchang Shi,Nanchang Shi,1800160,CN.03,3601
CN.03.3604,Jiujiang Shi,Jiujiang Shi,1805178,CN.03,3604
CN.03.3602,Jingdezhen Shi,Jingdezhen Shi,1805679,CN.03,3602
CN.03.3608,Ji’an Shi,Ji'an Shi,1806430,CN.03,3608
CN.03.3607,Ganzhou Shi,Ganzhou Shi,1810636,CN.03,3607
CN.03.3610,Fuzhou Shi,Fuzhou Shi,1810818,CN.03,3610
CN.03.3605,Xinyu,Xinyu,9072903,CN.03,3605
