code,name,name_ascii,geonameid,iso_state_id,id
CN.12.4205,Yichangshi,Yichangshi,1786761,CN.12,4205
CN.12.4209,Xiaogan,Xiaogan,1790253,CN.12,4209
CN.12.4212,Xianning Prefecture,Xianning Prefecture,1790395,CN.12,4212
CN.12.4206,Xiangyang,Xiangyang,1790585,CN.12,4206
CN.12.4201,Wuhan Shi,Wuhan Shi,1791243,CN.12,4201
CN.12.4213,Suizhou Shi,Suizhou Shi,1793878,CN.12,4213
CN.12.4203,Shiyan Shi,Shiyan Shi,1794892,CN.12,4203
CN.12.1795614,Shennongjia,Shennongjia,1795614,CN.12,1795614
CN.12.4210,Jingzhou Shi,Jingzhou Shi,1805539,CN.12,4210
CN.12.4208,Jingmen Shi,Jingmen Shi,1805610,CN.12,4208
CN.12.4202,Huangshi Shi,Huangshi Shi,1807225,CN.12,4202
CN.12.4211,Huanggang Shi,Huanggang Shi,1807500,CN.12,4211
CN.12.4207,Ezhou Shi,Ezhou Shi,1811618,CN.12,4207
CN.12.4228,Enshi Tujiazu Miaozu Zizhizhou,Enshi Tujiazu Miaozu Zizhizhou,1811624,CN.12,4228
CN.12.12324193,Tianmen,Tianmen,12324193,CN.12,12324193
CN.12.12324199,Qianjiang,Qianjiang,12324199,CN.12,12324199
CN.12.12324200,Xiantao,Xiantao,12324200,CN.12,12324200
